docno,current_document,round_no,query_id,username,query,group,position
ROUND-01-029-CXI2X2,"CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games! With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way. Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system. We're always looking for ways to improve your gaming experience, whether on the latest, or older older gaming systems such as the PS2. To experience all the hidden parts of your games, be sure to visit our PS2 cheats often. Choose the starting letter for the PS2 game you're looking for.",1,29,CXI2X2,ps 2 games,029_029_0_T,3.0
ROUND-01-029-5NT5J0,"CheatCodes.com has more content than anyone else to help you win all PlayStation 2 (PS2) games! With thousands of cheats, hints and guides for PS2 games, we cover a wide range of racing, first person shooter, sporting games, and everything else -- to ensure you can play your games your way. Even though games are no longer actively produced for the PlayStation 2, CheatCodes.com still posts new tips and hints for all PlayStation games... including those that cross over from PS2 to the PlayStation 3, or maybe that you used to play on your old original PlayStation system. We're always looking for ways to improve your gaming experience, whether on the latest, or older older gaming systems such as the PS2. To experience all the hidden parts of your games, be sure to visit our PS2 cheats often. Choose the starting letter for the PS2 game you're looking for.",1,29,5NT5J0,ps 2 games,029_029_0_T,4.0
ROUND-01-034-DG0YZT,"A cell phone (or a mobile phone) is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area, as opposed to a fixed-location phone (landline phone). The radio frequency link establishes a connection to the switching systems of a cell phone operator, which provides access to the public switched telephone network.  The best companies selling the device these days are Apple with their iPhones, Google with Pixel, and Samsung with their version. iPhone users mostly like their advanced cameras and the help of Siri, while Samsung users like their interface and the freedom to connect with all sorts of devices. In the contrary, Pixel users like the easy connection to google, such as the google assistant function, google document apps and the automatic back up for images, videos and texts.",1,34,DG0YZT,cell phones,034_034_0_T,1.0
ROUND-01-034-KKGQER,"""Cell phones are THE most revolutionary device of the 21st century"" - This quete was said by me. In this age it's vital to have a cell phone that fits your need as good as possible. That is why we offer phones that are more than communication devices. Our telephone services are full of unique tools and gadgets to help you fill everyday needs. You can purchase them at our stores in locations in the USA and Europe as well as in our digital website store.   you can also find them in sites such as: Amazon.com, Facebook Marketpalce and Alibaba. If you're interested in history, the ""mobile phone"" or ""cellular phone"" was invented by Inventor Eric Tigerstedt in Finland, 1917, described as ""pocket-size folding telephone with a very thin carbon microphone"". Today ""smart phone"" are mainly produced by ""Iphone"", ""Samsung Galaxy"", ""Xiaomi"", ""Huawei"" which range in price and value.",1,34,KKGQER,cell phones,034_034_0_T,2.0
ROUND-01-034-GZ4HPV,"The first hand held mobile phone was invented by Martin Cooper of Motorola in New York City on 3 April 1973. A mobile phone (or cellphone) is a portable wireless telephone that can make and receive calls over a radio frequency.  In addition to telephony, digital smartphones support a variety of other services, such as text messaging, email, Internet access (wifi), Bluetooth connection, payments (via NFC), multimedia and streaming (radio, television), digital camera, mobile apps and video games. Moreover, most mobile phones today have touch screen that allows users to interact directly with the cell phone's interface by tapping, swiping, and pinching. It offers a more intuitive and user friendly experience, enabling faster navigation and precise input. The most popular smartphones brands today are Apple and Samsung and their standard cellphone has 128GB and costs around 823 U.S. dollars.",1,34,GZ4HPV,cell phones,034_034_0_T,3.0
ROUND-01-034-FEHVQN,"The biggest wireless carrier in United States, Verizon Wireless operates a robust and far-reaching 4G LTE network and a strong lineup of smartphones, feature phones, and basic handsets. A joint venture between Verizon Communications and Vodafone, Verizon Wireless was formed in 2000 through a merger between GTE Wireless and Bell Atlantic. Things you should know about Verizon Wireless: Verizon has a ""Share Everything"" plan that includes unlimited and text and voice calls for multiple devices plus a monthly allotment of data use (single lines plans are available, as well). The monthly price increases based on the number and type of devices you add to the plan and the amount of data that you elect to use. Cell phones emit low levels of non-ionizing radiation when in use. The type of radiation emitted by cell phones is also referred to as radio frequency RF",1,34,FEHVQN,cell phones,034_034_0_T,4.0
ROUND-01-045-0ZWOTE,"A solar panel is a device that converts sunlight into electricity by using photovoltaic cells. Solar panels are also known as solar cell panels, solar electric panels, or PV modules. Solar panels are usually arranged in groups called arrays or systems. A photovoltaic system consists of one or more solar panels, an inverter that converts DC electricity to alternating current electricity, and sometimes other components such as controllers, meters, and trackers. Most panels are in solar farms, which supply the electricity grid as can some rooftop solar. Some advantages of solar panels are that they use a renewable and clean source of energy, reduce greenhouse gas emissions, and lower electricity bills. Some disadvantages are that they depend on the availability and intensity of sunlight, require cleaning, and have high initial costs. Solar panels are widely used for residential, commercial, and industrial purposes, as well as in space, often together with batteries.",1,45,0ZWOTE,solar panels,045_045_0_T,1.0
ROUND-01-045-AWG80T,"Welcome to the most descriptive explanation of solar panels! Solar panels, also known as photovoltaics (PV), capture the suns energy and convert it into electricity to use in your home. Installing solar panels lets you use free, renewable, low carbon electricity. You can sell surplus electricity to the grid or store it for later use. How do solar panels work? 1. When the sun shines on a solar panel, solar energy is absorbed by individual PV cells in the panel. These cells are made from layers of semi-conducting material, most commonly silicon. 2. The PV cells produce an electrical charge as they become energised by the sunlight. 3. This electrical charge creates a direct current (DC) of electricity. 4. The current passes through an inverter to turn it into alternating current (AC) electricity. This is the kind of current needed for household appliances.",1,45,AWG80T,solar panels,045_045_0_T,2.0
ROUND-01-045-ALTS1G,"Solar panels, also known as photovoltaics (PV), capture the sun's energy and convert it into electricity to use in your home. Installing solar panels lets you use free, renewable, low carbon electricity. You can sell surplus electricity made by the solar panels or store it for later use. But how do solar panels work ? When the sun shines on a solar panel, solar energy is absorbed by individual PV cells in the panel. These cells are made from most commonly silicon. Then, the PV cells produce an electrical charge that will generate a direct current (DC). An inverter then converts this DC into alternating current (AC), suitable for household appliances' use. But, do solar panel need to always receive sun in order to work ?  In fact, the cells can even work on cloudy days. However, the stronger the sunshine, the more the solar panel will be effective, the more electricity generated.",1,45,ALTS1G,solar panels,045_045_0_T,3.0
ROUND-01-045-DVQRVN,"Discover leading solar panel companies with our comprehensive list of top photovoltaics (PV) firms. Solar PV technology is booming, with a 50% annual growth in capacity during 2006 and 2007. By 2007, 1.5 million homes had rooftop photovoltaics connected to the grid. Investment in solar PV manufacturing soared in Europe, Japan, China, Taiwan, and the USA. Ontario, Canada, leads North America with a successful solar incentive program. Top PV companies include equipment producers, cell manufacturers, and installers, excluding silicon producers.",1,45,DVQRVN,solar panels,045_045_0_T,4.0
ROUND-01-048-8CAL0Q,"Wilson antennas is a frontrunner in the car antenna market, producing top notch antenna parts for over fifty years. Wilson CB antennas offer silver-plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means Wilson antennas will last, no matter where you use them. Wilson offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs. Anyone can buy a Wilson antenna product online nowadays, and choose from a variety of quality options - from the affordable Wilson Little WIL CB antenna for 47 USD, or the Wilson FLEX antenna which can bend up to 180 degrees for only 33 USD, to the upper end of antennas such as the Wilson 5000 TRUCKER CB antenna for over 120 dollars, Wilson can supply the needs of everyone with top quality well designed series of antennas and antenna related parts.",1,48,8CAL0Q,wilson antenna,048_048_0_T,1.0
ROUND-01-048-IKOG4O,"Since its inception, Wilson has changed the market landscape with the design and construction of mobile CB antennas. Its impressive performance has made it one of the leading names in the industry. The product line has expanded to include unique antennas for truck drivers, such as the Trucker Series and the FGT-Silver Load Series. Wilson leads the market in mobile CB antennas, providing exceptional performance for optimal user experience.",1,48,IKOG4O,wilson antenna,048_048_0_T,2.0
ROUND-01-048-3XNR8C,"Wilson CB antennas offer silver plated copper wire for superior power and the broadband antenna allows for easy tuning. This unique design means Wilson antennas will last and last in the most rugged of travel. no matter where you use them. Wilson offers CB antennas, studs, CB antenna mounts, cables and other accessories to meet all your needs. The Wilson line of products and especially their antenna designs have made them become the most recognized name on the road, and the Wilson antenna to the most requested line of trucker antennas available. Wilson has become the leader in CB mobile antennas and the name to trust for over 50 years. Thanks to Wilson, you don't have to worry about radio communication or connection when off roading ever again.",1,48,3XNR8C,wilson antenna,048_048_0_T,3.0
ROUND-01-048-4ABUO2,"For quality and performance, it doesn't get much better than Wilson CB Antennas! Producing for several decades, they have made a name for themselves as a reputable manufacturer producing top notch antennas with powerful signal reception and transmission. Whether you are a truck driver or an off roader, Wilson antennas will provide reliable performance and durability for your needs. Wilson CB antennas offer silver-plated copper wire for superior power and their broadband antenna allows for easy tuning. Moreover, this unique design means Wilson antennas will last in the most rugged of travels. In addition to antennas, Wilson also offers studs, CB antenna mounts, cables and other accessories to meet all your needs, and hosts a rare degree of customer loyalty and satisfaction. Wilson has already become the standard name for high quality mobile antennas and they are now the most requested line of trucker antennas available.",1,48,4ABUO2,wilson antenna,048_048_0_T,4.0
ROUND-01-059-K625BG,"A simple step-by-step guide on how to build a fence. Before you start building a fence, you need to decide on the type of fence you want. A wooden fence can deteriorate quicker but is cheaper and harder to break through. A metal fence is more expensive but will last longer and can usually still get the job done. Now that you have chosen the materials for the fence, we can begin constructing it. First, use a tape measure to measure the length of the fence and mark the posts. Be sure to keep the tape at least 30 centimeters away from any trees or other obstacles that could potentially interfere with your measurements. Next, dig the post holes and make sure to wear the proper safety gear (gloves, a hard hat, etc.). Now, stick the posts in the holes you dug and attach the rails. Finally, seal the fence.",1,59,K625BG,how to build a fence,059_059_0_T,1.0
ROUND-01-059-OQE78E,"Fence building involves constructing barriers or enclosures using wood, metal, vinyl, or wire. It's easy to learn how to build a wood fence using either fence pickets or ready-made panels. Fencing can help increase home security and provide privacy. Popular fence types include wood, split-rail, and basket-weave. Vinyl and metal fences typically come as kits with pre-assembled panels and matching posts. To build a fence, plan and messure the area of the fence. Choose type of fence. Gather necessary materials and tools for building the fence: posts, panels, nails, hammer, and a post hole digger. Mark fence's post locations and dig holes. Place fence's posts in the holes, ensuring they are level and spaced. Secure fence's posts with concrete. Attach fence's panels to posts using nails or screws. Building a DIY fence may require a permit, and there are often restrictions on the builded fence's height and location.",1,59,OQE78E,how to build a fence,059_059_0_T,2.0
ROUND-01-059-ZLLI3X,"Always dreamt of a house with a self constructed white picket fence? Want a beautiful barrier from the intrusive neighbor? We can help you DIY it with a few simple steps. Firstly, establish the fence's type - you can choose a wooden palisade, a chain link barrier, barbed wired fence, an old-fashioned brick wall or a modern metal gateway. Secondly, you need to measure the desired length and height of the fence and buy the materials necessary. Then, mark the layout and post locations. The next step will be digging holes and setting posts. Next install the fence rails and pickets. Finally, build and install the fence gate. If That's too much work, you can also use a pre-made kit with easy self-assembly instructions from EZ Fence 2 Go fencing system, that comes in vinyl, aluminum or wood, to make enclosing your back yard and garden an effortless task.",1,59,ZLLI3X,how to build a fence,059_059_0_T,3.0
ROUND-01-059-N72SZ3,"Time for home improvements can often fall pretty far down on the totem pole of priorities. But why should it have to? Even if your days are full of work, sports games for the kids, chores and taking care of the family pets, you can still have time to install a DIY fence and give yourself the privacy and R&R you are so desperately seeking. Our EZ Fence 2 Go fencing system is the easiest way to get the fence of your dreams on your terms. A new generation of do-it-yourself fence kits with easy self-assembly instructions make enclosing your back yard and garden an effortless task. It couldnt be simpler to transform your yard! The Fence Authority offers the EZ Fence 2 Go system in both vinyl and aluminum. For those of you who are looking for a more rustic option, we also offer fences-to-go kits in wood.",1,59,N72SZ3,how to build a fence,059_059_0_T,4.0
ROUND-01-069-GZ4HPV,"Hello everyone, today I am going to teach you a step-by-step guide for sewing. I suppose you have decided to have a go at sewing your own clothes, but sewing patterns look scary and difficult to understand. Let me help you with everything you need to know from how to choose a suitable sewing pattern through to reading and understanding the information on the packet. Firstly, choose a sewing pattern and its size. If you are just starting out sewing it is probably best to choose designs that are relatively easy to sew. Next, the really exciting part - which fabric will you use and how much do you need? You can choose of cotton, silk, wool, polyester and much more. I suggest you prepare the sewMachine and all the sewing pieces in advance. Now you can start sewing the textile according to the marks instructions. Enjoy!",1,69,GZ4HPV,sewing instructions,069_069_0_T,1.0
ROUND-01-069-7KO86D,"writing the best sewing instructions is easy! just remember to include sew easy tips for beginners and a step by step SewMachine guide. when i write instructions i always add sewing patterns and sometimes step-by-step guide to set-up the sewMachine. it is also recommended to add easy and stylish examples like tops, dresses, skirts and Trousers! by writing a great instruction set you set up your customers for success! always treat your customers like babies and explain how to use the power button and give clear concise instructions. remember! crafting their own hand-made items is the only change to escape capitalism and achieve stylish looking cloth like the ship they are! the best guide should include how to work with different materials like wool, linen, silk, fur and yarn. if you suspect your customer is sewing for their cat explain how to do that also!",1,69,7KO86D,sewing instructions,069_069_0_T,2.0
ROUND-01-069-K625BG,"Free How-To sewing program for beginners on Sewing.com. This is the leading beginner's sewing course available, it provides simple instructions for many different sewing techniques. By the end of the course, you will be able to create your own creative sewing projects. First, gather your sewing materials. The required materials are pinking shears, sewing pins, sewing needles, stitches, fabric measuring tape, and a sewing machine. Finally, we can begin sewing! Loosen needle tension slightly. With the right side up, stitch 1 cm from the cut edge using a long stitch. Stitch again 6 mm away in the seam allowance. Zig-zag or overlock raw edges. Every stitch needs to be properly fastened. Make sure you choose a very simple sewing pattern, we have a wide variety of sewing patterns on our site.  The best sewing instructions out there.  This guide deserves an award, it helped me so much!  5/5 stars, 1024 reviews.",1,69,K625BG,sewing instructions,069_069_0_T,3.0
ROUND-01-069-OPPJA3,"Maybe you want to start sewing your own clothes to cut down on fast fashion intake. Maybe your grandmother used to sew, but you never learned from her. Maybe you are just ready for a new hobby! Sewing machines may appear intimidating to beginners, but don't let that deter you from crafting beautiful textile creations! Follow this comprehensive guide, sewing instructions, to understand the anatomy, set-up, and use of a sewing machine, and start making your own handmade items today. Find the power switch. It may seem silly, but locating the power switch is the most important step! This is located in different places depending on the sewing machine you have, but is normally on the right side of the body.",1,69,OPPJA3,sewing instructions,069_069_0_T,4.0
ROUND-01-078-K6DHM4,"Dieting is the practice of eating healthy food in a regulated way to decrease, maintain, or increase body weight, or to prevent and treat diseases such as diabetes and obesity. Here are a few steps to dieting and improving your health : Calculate your Body Mass Index (BMI) - an indicator of body fat - and see where it fits within the BMI categories. Set your weight goal. If you want to lose  weight, set a realistic intermediate goal and remember that even a small amount of weight loss can lead to big health benefits. Cook your food at home. Shop for groceries regularly.  Estimate the number of calories needed each day to maintain your current weight or to lose or gain weight.",1,78,K6DHM4,dieting,078_078_0_T,1.0
ROUND-01-078-F3F6SP,"Check your Body Mass Index (link is external) (BMI) - an indicator of body fat - and see where it fits within the BMI categories. Discuss weight loss with your doctor and decide on a goal. If you have a lot of weight to lose, set a realistic intermediate goal, maybe to lose 10 pounds. Remember that even a small amount of weight loss can lead to big health benefits. Estimate your calorie needs. Using USDA's online Adult Energy Needs and BMI Calculator (link is external), you can determine the number of calories needed each day to maintain your current weight. To lose about 1 pound per week, subtract 500 calories each day from the daily amount. To lose about 2 pounds per week, subtract 1000 calories daily. Score your current food intake and physical activity level using MyPlate SuperTracker.",1,78,F3F6SP,dieting,078_078_0_T,2.0
ROUND-01-078-DARU2T,"Check your Body Mass Index (link is external) (BMI) - an indicator of body fat - and see where it fits within the BMI categories. Discuss weight loss with your doctor and decide on a goal. If you have a lot of weight to lose, set a realistic intermediate goal, maybe to lose 10 pounds. Remember that even a small amount of weight loss can lead to big health benefits. Estimate your calorie needs. Using USDA's online Adult Energy Needs and BMI Calculator (link is external), you can determine the number of calories needed each day to maintain your current weight. To lose about 1 pound per week, subtract 500 calories each day from the daily amount. To lose about 2 pounds per week, subtract 1000 calories daily. Score your current food intake and physical activity level using MyPlate SuperTracker.",1,78,DARU2T,dieting,078_078_0_T,3.0
ROUND-01-078-X3CQB4,"Check your Body Mass Index (link is external) (BMI) - an indicator of body fat - and see where it fits within the BMI categories. Discuss weight loss with your doctor and decide on a goal. If you have a lot of weight to lose, set a realistic intermediate goal, maybe to lose 10 pounds. Remember that even a small amount of weight loss can lead to big health benefits. Estimate your calorie needs. Using USDA's online Adult Energy Needs and BMI Calculator (link is external), you can determine the number of calories needed each day to maintain your current weight. To lose about 1 pound per week, subtract 500 calories each day from the daily amount. To lose about 2 pounds per week, subtract 1000 calories daily. Score your current food intake and physical activity level using MyPlate SuperTracker.",1,78,X3CQB4,dieting,078_078_0_T,4.0
ROUND-01-098-D5KJCA,"The SAT is an entrance exam used by most colleges and universities to make admissions decisions. The SAT is a multiple-choice, computer-based test created and administered by the College Board.  The SAT and SAT Subject Tests are designed to assess your academic readiness for college. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century. The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare. About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials. When's the Best Time to Take the SAT? The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.",1,98,D5KJCA,sat,098_098_0_T,1.0
ROUND-01-098-BABUSQ,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century. About SAT: The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare. About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials. When's the Best Time to Take the SAT? The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.",1,98,BABUSQ,sat,098_098_0_T,2.0
ROUND-01-098-5NT5J0,"The SAT and SAT Subject Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep pace with what colleges are looking for today, measuring the skills required for success in the 21st century. About SAT: The SAT is a globally recognized college admission test. Learn what it tests and how you can best prepare. About Subject Tests: SAT Subject Tests can complement or enhance your college admission credentials. When's the Best Time to Take the SAT? The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year and a second time during the fall of their senior year.",1,98,5NT5J0,sat,098_098_0_T,3.0
ROUND-01-098-LXEDRD,"The SAT Tests are designed to assess your academic readiness for college. These exams provide a path to opportunities, financial support, and college scholarships, in a way that's fair to all students. The SAT and SAT Subject Tests keep track of what colleges are looking for today, measuring the skills required for success in the academic environment. About the SAT: The SAT is a globally recognized college admission test. Learn about the SAT test and maximize your odds of getting into college. About Subject Tests: SAT Subject Tests can complement your college admission credentials. When's the Best Time to Take the SAT? The SAT and other College Board tests are offered several times a year. Most students take the SAT for the first time during the spring of their junior year, and a second time during the fall of their senior year.",1,98,LXEDRD,sat,098_098_0_T,4.0
ROUND-01-167-ZM3TBL,"Barbados is an island country in the Lesser Antilles of the West Indies, in the Caribbean region of North America, and is the most easterly of the Caribbean islands. It lies on the boundary of the South American and the Caribbean Plates. Its capital and largest city is Bridgetown. 90 percent of all Barbadians are of Afro Caribbean ancestry, the main language is English and Christianity is the largest religion.  Barbados is textbook Caribbean, an island of exotic gardens, lush plantations, and colorful towns with beautiful beaches.  Hotels are welcoming, and car rentals are often available. While its seas offer snorkel excursions, catamaran cruises and boat trips. Between the peaceful beaches like Carlisle or Payne's Bay, best of Barbados tours whisk you to sights like Harrison's Cave, wildlife parks, and wild east coast wonders like Bathsheba Beach. Old rum estates, the iconic Mount Gay distillery, and historical Bridgetown are recommended.",1,167,ZM3TBL,barbados,167_167_0_T,1.0
ROUND-01-167-3XNR8C,"Looking for the best destination for your next trip? One of the most unique destinations you will find is Barbados. Surrounded by the crystal clear waters of the Caribbean sea, Barbados has something for every kind of traveler. Being an island country of only 430 squared km, Barbados has some incredible beaches and a lot of great history to explore as well as some UNESCO world heritage sites. You will also be glad to know that Barbados is one of the biggest producers of rum, and it's capital city Bridgetown has some of the best nightlife in the Caribbean, or as the official government website has said: ""Barbados wakes up when the sun goes down"". Barbados is a very special place, and Barbadians are very special people who have many stories to tell. Your Barbados adventure awaits.",1,167,3XNR8C,barbados,167_167_0_T,2.0
ROUND-01-167-8HAMF4,"The island of Barbados is located at 13.4N and 54.4W and is situated in the western area of the North Atlantic Ocean and 100 kilometres east of the Windward Islands and the Caribbean Sea. The island is seen by most scientists as geologically unique as it was formed as a result of an amalgamation of two land masses over a period of many years. The peaceful Arawaks and the more ferocious Caribs were the first inhabitants of Barbados. However, when English Captain, John Powell arrived in 1625, the island was uninhabited and as a result he claimed it for King James I of England. Powell soon returned to England to put the necessary plans in place and subsequently returned to Barbados in February of 1627 at the site which is now known as Holetown.",1,167,8HAMF4,barbados,167_167_0_T,3.0
ROUND-01-167-KKGQER,"Barbedos Island is a coutry in the caribbeans, specifically, an island in the caribbean region of north america, in the north atlantic ocean. Declared Independent in 1966, The caribbean  island has a land Area of 493 square kilometers. The official language in Barbedos is English nut another spoken language is Bajan Creole. Barbados is an amazing destination for tourism, filled with magical ocean beaches, unique wildlife and lively festivals. If you plan on Traveling to Barbedos, Flights are availible from the UK, and north America. The currency Barbedos in The Barbadian Dollar, the weather is tropical and you MUST fill a visa form before entry. The island of Barbedos is known for is widely famous for it's deep Barbadian culture, it's warm people and it's world famous rum and jewelry production. If you want more info about the diverse history of Barbados , try the book ""barbados , just beyond your imagination"".",1,167,KKGQER,barbados,167_167_0_T,4.0
